mass,z,fov,mlt,age,log_k,teff,lum
11.2,0.01,0.025,2.8,15792950.0,-2.359883,24816.950103,15010.86
11.2,0.01,0.025,2.8,16021790.0,-2.368784,24699.549291,15222.67
11.2,0.01,0.025,2.8,16244910.0,-2.377763,24578.679052,15435.6
11.2,0.01,0.025,2.8,16462230.0,-2.38678,24455.438877,15649.73
11.2,0.01,0.025,2.8,16674570.0,-2.395872,24328.06805,15865.16
11.2,0.01,0.025,3.0,14390730.0,-2.310982,25358.583125,13827.49
11.2,0.01,0.025,3.0,14647030.0,-2.319403,25259.370376,14024.71
11.2,0.01,0.025,3.0,14896920.0,-2.327877,25157.741983,14224.18
11.2,0.01,0.025,3.0,15141050.0,-2.336422,25052.729764,14425.18
11.2,0.01,0.025,3.0,15379830.0,-2.345028,24944.015188,14627.59
11.2,0.01,0.025,3.0,15612720.0,-2.353682,24831.966043,14831.19
11.2,0.01,0.025,3.0,15839590.0,-2.36237,24717.50749,15035.89
11.2,0.01,0.025,3.0,16061120.0,-2.371112,24599.6033,15241.72
11.2,0.01,0.025,3.0,16277750.0,-2.379922,24477.833629,15448.82
11.2,0.01,0.025,3.0,16489050.0,-2.388786,24353.052672,15657.15
11.2,0.01,0.03,1.0,14368930.0,-2.307114,25702.667316,13882.03
11.2,0.01,0.03,1.0,14661490.0,-2.316484,25607.905141,14110.29
11.2,0.01,0.03,1.0,14947120.0,-2.325934,25509.128131,14341.08
11.2,0.01,0.03,1.0,15225050.0,-2.335419,25408.201869,14573.94
11.2,0.01,0.03,1.0,15496380.0,-2.34495,25302.665627,14808.82
11.2,0.01,0.03,1.0,15761330.0,-2.354651,25193.537382,15048.08
